word,Tag,translation from language,descrepition,example
420,סמים,,מן “קוד” של צרכני קנאביס.,"ה20 בארפיל היום, פור טוונטי!!!!"
<===8,אינטרנט,,ציור של בולבול בעזרת תווי מקלדת,אתה חתיכת <===8
אֶקסטָה,"סמים,סטלנים",,"גלולת אקסטזי, סם המגיע בגלולות.",ממתי אתה מוכר אקסטה?
אָסיד,"סמים,סטלנים",,סוג של סם הזיה,לא ידעתי שעושים אסיד בימינו
אָסיד פּונץ',"סמים,סטלנים",,תערובת ל.ס.ד,מה זה כאילו פונץ של אסיד או משהו?
אאונץ,סמים,,"יחידת מידה למריחואנה, כ-28 גרם",קניתי רק אאונץ ממנו אל תתרגש
אבויויו,,,"שק קמח, לסחוב מישהו על הגב",אבא תעשה לי אבויויו
אדומים,פשע,,כינוי לשטרות של 200 שקל,תמיד יש עליו לפחות 10 אדומים בארנק
אדיבלס ,סמים,מאנגלית: edibles,"מזון, מאכלים ושתייה, המכילים רכיבי קנאביס פעילים",אין על האדיבלס באמסטרדאם
אהממממ,אינטרנט,,כחכוח בגרון לצורך הפניית תשומת לב,אהממ אם אפשר לקבל את תשומת לבכם לרגע.
אוֹקה,סמים,,"מידת משקל של חשיש המקובלת במזרח התיכון, 1,256 גרם",מה אני ברון סמים? איך אני אמור לדעת מה זה אוקה!
אוחץ',גייז,,הומו בעל גינונים נשיים,אוחץ' את נראית מושלם היום!
אוחצ'ה,גייז,,הומו בעל גינונים נשיים,אוחצ'ה מה את עושה מחר בערב?
אוטו טורט,,,קללות הנגרמות בעקבות האוטו קורקט,"""בולבול שלי איך את מרגישה?"" ""מה?"" ""חחח התכוונתי בובה שלי.. אוטו טורט"""
אוכל,פשע,,הרווח של העבריין מהעסקה,מה האוכל שלו מהעניין הזה?
אומייגאד,,,"מאנגלית - Oh My God. קריאת התלהבות, פליאה, התפעלות",אומייגאד אני לא מאמינה שהתקבלת איזה כיף!
אופנועים,פשע,,כינוי למשלוחים שצריכים להגיע,מתי האופנועים מגיעים אנחנו פה כבר שעה
אופנוען,פשע,,"כינוי לשליח, לבלדר שאמור לבצע את העברת הסם או אמצעי הלחימה ","חכם האופנוען שלך, יודע מתי לסתום"
